loop,traffic,network,location,FlowID,SrcAddress,DestAddress,Start,Count
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.009,7
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.01,1
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.012,12
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.013,18
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.014,50
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.015,380
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.016,512
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.017,415
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.018,537
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.019,827
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.02,2721
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.021,3593
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.022,3085
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.023,2898
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.024,4152
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.025,4624
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.026,4109
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.027,3990
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.028,4518
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.029,8889
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.03,20006
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.031,9742
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.032,13280
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.033,16224
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.034,10547
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.035,8297
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.036,6905
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.037,9907
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.038,19869
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.039,43634
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.04,11234
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.041,7690
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.042,12125
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.044,4325
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.045,4900
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.046,5052
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.047,7798
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.048,19635
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.049,4134
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.05,5489
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.052,1309
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.053,629
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.054,394
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.055,302
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.056,347
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.057,481
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.058,117
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.06,15
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.061,9
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,0.062,4
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.008,1
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.009,1
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.01,6
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.011,14
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.012,19
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.013,44
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.014,105
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.015,1093
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.016,1403
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.017,1628
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.018,1745
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.019,2426
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,0.02,4053
