loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
1,private,loc2,Light,3,7.0.0.4,7.0.0.7,TCP,3477,176372,103698676,172895,101654200,2.332999999,799.488999999,799.503999999,129889.39082607308,127518.6879602996
1,private,loc2,Light,4,7.0.0.5,7.0.0.2,TCP,707,81455,4467732,80748,4427464,1.347999999,659.703999999,659.718999999,6786.04008985815,6724.877007037066
1,private,loc2,Light,5,7.0.0.6,7.0.0.3,TCP,914,88647,4836132,87733,4784188,1.524999999,734.463999999,734.476999999,6598.138491637948,6527.286916469291
1,private,loc2,Light,6,7.0.0.7,7.0.0.4,TCP,1182,98984,5362212,97802,5296860,2.347999999,799.473999999,799.488999999,6726.804919079561,6644.821932380845
1,private,loc2,Light,7,7.0.0.8,7.0.0.9,TCP,2461,188570,110690368,186109,109246472,4.442999999,799.022999999,799.037999999,138778.88918010864,137486.9864522178
1,private,loc2,Light,8,7.0.0.9,7.0.0.10,TCP,4824,191608,112423160,186784,109606276,4.021999999,799.028999999,799.043999999,140877.1069247072,137865.71440790317
1,private,loc2,Light,9,7.0.0.9,7.0.0.8,TCP,2977,106226,5743548,103249,5583224,4.457999999,799.028999999,799.044999999,7228.352878102559,7026.57355330505
1,private,loc2,Light,10,7.0.0.10,7.0.0.9,TCP,650,108198,5914700,107548,5878708,4.036999999,799.021999999,799.036999999,7439.874213836478,7394.6012578616355
2,private,loc1,Full,1,7.0.0.2,7.0.0.5,TCP,2692,136504,80250752,133812,78667856,1.023999999,659.665999999,659.680999999,121839.66181381277,119436.75691596688
2,private,loc1,Full,2,7.0.0.3,7.0.0.6,TCP,3638,146416,86084312,142778,83945168,1.022999999,734.569999999,734.584999999,117351.00189265802,114435.00072250198
2,private,loc1,Full,3,7.0.0.4,7.0.0.7,TCP,3918,176495,103769956,172577,101466172,2.332999999,799.485999999,799.500999999,130088.79755881874,127283.29787447564
2,private,loc1,Full,4,7.0.0.5,7.0.0.2,TCP,666,76895,4171780,76229,4134508,1.038999999,659.651999999,659.665999999,6334.04592577297,6277.465090255942
2,private,loc1,Full,5,7.0.0.6,7.0.0.3,TCP,919,82796,4509984,81877,4459364,1.037999999,734.554999999,734.569999999,6148.312548055164,6079.303970378935
2,private,loc1,Full,6,7.0.0.7,7.0.0.4,TCP,1406,98923,5363680,97517,5285888,2.347999999,799.472999999,799.485999999,6728.654941415561,6631.082698353359
2,private,loc1,Full,7,7.0.0.8,7.0.0.9,TCP,2673,232327,136598948,229654,135027756,4.461999999,799.477999999,799.492999999,171165.26399116026,169839.61128559767
2,private,loc1,Full,8,7.0.0.9,7.0.0.10,TCP,4770,216734,127436728,211964,124632500,4.550999999,799.013999999,799.036999999,159799.5375337375,156871.86432485908
2,private,loc1,Full,9,7.0.0.9,7.0.0.8,TCP,4681,129620,6985308,124939,6732000,4.476999999,799.466999999,799.477999999,8786.495682417091,8467.91387683789
2,private,loc1,Full,10,7.0.0.10,7.0.0.9,TCP,758,120422,6519996,119664,6479132,4.580999999,799.036999999,799.058999999,8206.55870588028,8155.206311565582
2,private,loc2,Full,1,7.0.0.2,7.0.0.5,TCP,3521,137403,80780744,133882,78710500,1.282999999,659.617999999,659.631999999,122701.6657528754,119557.40800092352
2,private,loc2,Full,2,7.0.0.3,7.0.0.6,TCP,2784,148968,87584008,146184,85947016,1.340999999,734.627999999,734.642999999,119437.73720639716,117205.48423432636
2,private,loc2,Full,3,7.0.0.4,7.0.0.7,TCP,4447,173833,102204784,169386,99590044,2.332999999,799.464999999,799.479999999,128046.7684089375,124933.09765952828
2,private,loc2,Full,4,7.0.0.5,7.0.0.2,TCP,582,77581,4228572,76999,4196476,1.297999999,659.609999999,659.617999999,6423.209134670156,6374.523028314498
2,private,loc2,Full,5,7.0.0.6,7.0.0.3,TCP,814,83849,4544852,83035,4500596,1.355999999,734.613999999,734.627999999,6198.035383820215,6137.689697683806
2,private,loc2,Full,6,7.0.0.7,7.0.0.4,TCP,1304,98291,5359272,96987,5287232,2.347999999,799.451999999,799.464999999,6723.302292380435,6632.943470030121
2,private,loc2,Full,7,7.0.0.8,7.0.0.9,TCP,3407,226322,133066852,222915,131063536,1.122999999,799.440999999,799.455999999,166680.8802207262,164171.51238894043
2,private,loc2,Full,8,7.0.0.9,7.0.0.8,TCP,4389,126495,6833340,122106,6595316,4.137999999,799.426999999,799.440999999,8559.821822263197,8292.83430340386
2,private,loc2,Full,9,7.0.0.9,7.0.0.10,TCP,4281,223942,131673672,219661,129156976,4.380999999,798.999999999,799.023999999,165078.80874205887,162534.5922634441
2,private,loc2,Full,10,7.0.0.10,7.0.0.9,TCP,621,124512,6728872,123891,6695340,4.416999999,799.023999999,799.039999999,8467.792455228322,8425.80695499627
