FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
1,7.0.0.2,7.0.0.3,TCP,615,2758,1620148,2143,1258528,2.035999999,19.944999999,19.928999999,90284.090280874,70336.33264405075
2,7.0.0.3,7.0.0.2,TCP,5,1631,104448,1626,104164,2.071999999,19.928999999,19.944999999,5837.366567931595,5828.008728249314
3,7.0.0.4,7.0.0.5,TCP,73,3690,2168652,3617,2125728,2.035999999,19.970999999,19.997999999,120675.0876479147,118345.84122035408
4,7.0.0.5,7.0.0.4,TCP,3,2077,114928,2074,114772,2.071999999,19.991999999,19.970999999,6400.534640231677,6412.201798983183
